time,U1,RF_total_positive
0.0,0.0,0.0
0.009999999776482582,0.019999999552965164,1003.3554000854492
0.019999999552965164,0.03999999910593033,1012.358455657959
0.029999999329447746,0.05999999865889549,1020.9728050231934
0.04500000178813934,0.09000000357627869,1033.7086639404297
0.06499999761581421,0.12999999523162842,1050.5996704101562
0.08500000089406967,0.17000000178813934,1067.352523803711
0.10499999672174454,0.20999999344348907,1084.0227279663086
0.125,0.25,1100.6539306640625
0.14499999582767487,0.28999999165534973,1117.2623176574707
0.16500000655651093,0.33000001311302185,1133.8505058288574
0.1850000023841858,0.3700000047683716,1150.4212265014648
0.20499999821186066,0.4099999964237213,1166.9758033752441
0.22499999403953552,0.44999998807907104,1183.515338897705
0.24500000476837158,0.49000000953674316,1200.040916442871
0.25,0.5,1204.1760864257812
0.2574999928474426,0.48500001430511475,-62.915302753448486
0.2603124976158142,0.4793750047683716,-538.0745315551758
0.2645312547683716,0.47093749046325684,-797.2561340332031
0.27085936069488525,0.4582812488079071,-803.0051307678223
0.2771874964237213,0.4456250071525574,-808.6986198425293
0.2835156321525574,0.43296873569488525,-814.3556785583496
0.29300782084465027,0.41398438811302185,-822.6988582611084
0.3072460889816284,0.38550782203674316,-834.9920253753662
0.3272460997104645,0.34550780057907104,-852.1105117797852
0.34724608063697815,0.3055078089237213,-869.1090278625488
0.3672460913658142,0.2655078172683716,-886.026517868042
0.38724610209465027,0.22550781071186066,-902.900390625
0.40724608302116394,0.18550781905651093,-919.7257843017578
0.42724609375,0.1455078125,-936.5306167602539
0.44724610447883606,0.10550781339406967,-953.2936553955078
0.46724608540534973,0.06550781428813934,-970.0069313049316
0.4872460961341858,0.025507813319563866,-986.6683769226074
0.5072460770606995,-0.014492187649011612,-1003.3388519287109
0.5272461175918579,-0.05449218675494194,-1019.9916534423828
0.5472460985183716,-0.09449218958616257,-1036.6265563964844
0.5672460794448853,-0.1344921886920929,-1053.2446899414062
0.5872461199760437,-0.17449218034744263,-1069.8470993041992
0.6072461009025574,-0.21449218690395355,-1086.4344596862793
0.627246081829071,-0.2544921934604645,-1103.0074005126953
0.6472461223602295,-0.2944921851158142,-1119.5664863586426
0.6672461032867432,-0.33449217677116394,-1136.1122856140137
0.6872460842132568,-0.37449219822883606,-1152.645206451416
0.7072460651397705,-0.4144921898841858,-1169.1658363342285
0.727246105670929,-0.4544921815395355,-1185.6745414733887
0.7472460865974426,-0.49449217319488525,-1202.171875
0.7672460675239563,-0.4655078053474426,799.1271133422852
0.7722461223602295,-0.4555078148841858,803.6727523803711
0.7772461175918579,-0.44550782442092896,808.1776084899902
0.7822461128234863,-0.43550780415534973,812.655330657959
0.789746105670929,-0.4205078184604645,819.3225212097168
0.8009960651397705,-0.3980078101158142,829.0724754333496
0.81787109375,-0.3642578125,843.5841941833496
0.8378710746765137,-0.32425782084465027,860.6495723724365
0.8578711152076721,-0.28425779938697815,877.6165637969971
0.8778710961341858,-0.24425780773162842,894.5176944732666
0.8978710770606995,-0.2042578160762787,911.3788833618164
0.9178711175918579,-0.16425780951976776,928.2042465209961
0.9378710985183716,-0.12425781041383743,945.0105056762695
0.9578710794448853,-0.0842578113079071,961.7833213806152
0.9778711199760437,-0.044257812201976776,978.505199432373
0.9978711009025574,-0.0042578126303851604,995.1737747192383
1.0178711414337158,0.03574218600988388,1011.8536987304688
1.0378711223602295,0.07574218511581421,1028.5160522460938
